Maple;DLMF;Number of Variables;Maple-DLMF-Comment;Maple-Constraints;Maple-Branch Cuts;DLMF-Alternatives;Maple-Link
JacobiND($0, $1);\Jacobiellndk@@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=JacobiAM
JacobiDS($0, $1);\Jacobielldsk@@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=JacobiAM
JacobiDC($0, $1);\Jacobielldck@@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=JacobiAM
JacobiCS($0, $1);\Jacobiellcsk@@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=JacobiAM
InverseJacobiSN($0, $1);\aJacobiellsnk@@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=InverseJacobiAM
InverseJacobiCN($0, $1);\aJacobiellcnk@@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=InverseJacobiAM
InverseJacobiDN($0, $1);\aJacobielldnk@@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=InverseJacobiAM
InverseJacobiSD($0, $1);\aJacobiellsdk@@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=InverseJacobiAM
InverseJacobiCD($0, $1);\aJacobiellcdk@@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=InverseJacobiAM
InverseJacobiSC($0, $1);\aJacobiellsck@@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=InverseJacobiAM
InverseJacobiNS($0, $1);\aJacobiellnsk@@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=InverseJacobiAM
InverseJacobiNC($0, $1);\aJacobiellnck@@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=InverseJacobiAM
InverseJacobiND($0, $1);\aJacobiellndk@@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=InverseJacobiAM
InverseJacobiDS($0, $1);\aJacobielldsk@@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=InverseJacobiAM
InverseJacobiDC($0, $1);\aJacobielldck@@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=InverseJacobiAM
InverseJacobiCS($0, $1);\aJacobiellcsk@@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=InverseJacobiAM
;\JacobiEpsilonk@{x}{k};;;;;;not defined
JacobiTheta1($1, $2);\Jacobithetaq{1}@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=JacobiTheta
JacobiTheta2($1, $2);\Jacobithetaq{2}@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=JacobiTheta
JacobiTheta3($1, $2);\Jacobithetaq{3}@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=JacobiTheta
JacobiTheta4($1, $2);\Jacobithetaq{4}@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=JacobiTheta
;\Jacobithetatau{j}@{z}{\tau};;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=JacobiTheta
;\Jacobithetacombinedq{n}{m}@{z}{q};;;;;;not defined
;\AThetaFunction@{x};;;;;;not defined
JacobiZeta($0, $1);\JacobiZetak@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=JacobiZeta
;\Jacobisym{n}{P};;;;;;not defined
;;;;;;;
KelvinBer($0, $1);\Kelvinber{$0}@@{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=KelvinBer
KelvinBei($0, $1);\Kelvinbei{$0}@@{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=KelvinBei
KelvinKer($0, $1);\Kelvinker{$0}@@{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=KelvinKer
KelvinKei($0, $1);\Kelvinkei{$0}@@{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=KelvinKei
;;;;;;;
;\LameEc{m}{\nu}@{z}{k^2};;;;;;not defined
;\LameEs{m}{\nu}@{z}{k^2};;;;;;not defined
;\Lameeigvala{n}{\nu}@{k^2};;;;;;not defined
;\Lameeigvalb{n}{\nu}@{k^2};;;;;;not defined
;;;;;;;
;\FerrersP{\nu}@{x};;;;;;
;\FerrersP[\mu]{\nu}@{x};;;;;;
;\FerrersQ{\nu}@{x};;;;;;
;\FerrersQ[\mu]{\nu}@{x};;;;;;
LegendreP($0, $1);\assLegendreP{$0}@{$1};2;If you want to translate it, as the orthogonal polynomial, use the alternative \LegendrepolyP. If your variable is real and you previously set _EnvLegendreCut := 1..infinity, the translation is not correct and you must use the alternative translation: \FerrersP.;;;\FerrersP{$0}@{$1} || \LegendrepolyP{$0}@{$1};https://www.maplesoft.com/support/help/maple/view.aspx?path=LegendreP
LegendreP($1, $0, $2);X1:\LegendrePX\assLegendreP[$1]{$0}@{$2};3;If your variable is real and you previously set _EnvLegendreCut := 1..infinity, the translation is not correct and you must use the alternative translation: \FerrersP.;;;\FerrersP[$1]{$0}@{$2};https://www.maplesoft.com/support/help/maple/view.aspx?path=LegendreP
LegendreQ($0, $1);\assLegendreQ{$0}@{$1};2;If your variable is real and you previously set _EnvLegendreCut := 1..infinity, the translation is not correct and you must use the alternative translation: \FerrersQ.;;;\FerrersQ{$0}@{$1};https://www.maplesoft.com/support/help/maple/view.aspx?path=LegendreQ
LegendreQ($1, $0, $2);X1:\LegendreQX\assLegendreQ[$1]{$0}@{$2};3;If your variable is real and you previously set _EnvLegendreCut := 1..infinity, the translation is not correct and you must use the alternative translation: \FerrersQ.;;;\FerrersQ[$1]{$0}@{$2};https://www.maplesoft.com/support/help/maple/view.aspx?path=LegendreQ
;\assLegendreOlverQ{\nu}@{z};;;;;;
;\assLegendreOlverQ[\mu]{\nu}@{z};;;;;;
;\DunsterQ{\tau}@{x};;;;;;not defined
;\DunsterQ[\mu]{\tau}@{x};;;;;;
;;;;;;;
EllipticF(sin($0), $1);\incellintFk@{\asin@{$0}}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=EllipticF
EllipticE(sin($0), $1);\incellintEk@{\asin@{$0}}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=EllipticE
EllipticPi(sin($0), $1, $2);\incellintPik@{\asin@{$0}}{$1}{$2};3;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=EllipticPi
;\incellintDk@{\phi}{k};;;;;;not defined
EllipticK($0);\compellintKk@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=EllipticK
EllipticE($0);\compellintEk@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=EllipticE
EllipticPi($0, $1);\compellintPik@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=EllipticPi
;;;;;;;
EllipticCK($0);\ccompellintKk@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=EllipticCK
EllipticCE($0);\ccompellintEk@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=EllipticCE
;;;;;;;
LerchPhi($0, $1, $2);\LerchPhi@{$0}{$1}{$2};3;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=LerchPhi
;;;;;;;
LommelS1($0, $1, $2);\Lommels{$0}{$1}@{$2};3;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=LommelS1
LommelS2($0, $1, $2);\LommelS{$0}{$1}@{$2};3;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=LommelS2
;;;;;;;
MathieuA($0, $1);\Mathieueigvala{$0}@@{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=MathieuA
MathieuB($0, $1);\Mathieueigvalb{$0}@@{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=MathieuB
;\Mathieueigvallambda{m}@@{q};;;;;;not defined
MathieuCE($0, $2, $1);\Mathieuce{$0}@@{$2}{$1};3;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=MathieuCE
MathieuSE($0, $2, $1);\Mathieuse{$0}@@{$2}{$1};3;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=MathieuSE
;\Mathieume{n}@@{z}{q};;;;;;
;\modMathieuCe{\nu}@@{z}{q};;;;;;not defined
;\modMathieuSe{\nu}@@{z}{q};;;;;;not defined
;\modMathieuMe{\nu}@@{z}{q};;;;;;not defined
;\modMathieuFe{n}@@{z}{q};;;;;;not defined
;\modMathieuGe{n}@@{z}{q};;;;;;not defined
;\modMathieuM{j}{\nu}@@{z}{h};;;;;;not defined
;\modMathieuIe{n}@@{z}{h};;;;;;not defined
;\modMathieuIo{n}@@{z}{h};;;;;;not defined
;\modMathieuKe{n}@@{z}{h};;;;;;not defined
;\modMathieuKo{n}@@{z}{h};;;;;;not defined
;\radMathieuMc{j}{n}@@{z}{h};;;;;;not defined
;\radMathieuMs{j}{n}@@{z}{h};;;;;;not defined
;\Mathieufe{n}@@{z}{q};;;;;;not defined
;\Mathieuge{n}@@{z}{q};;;;;;not defined
;\modMathieuD{j}@{\nu}{\mu}{z};;;;;;not defined
;\radMathieuDs{j}@{n}{m}{z};;;;;;not defined
;\radMathieuDc{j}@{n}{m}{z};;;;;;not defined
;\radMathieuDsc{j}@{n}{m}{z};;;;;;not defined
;\MathieuFc{m}@{z}{h};;;;;;not defined
;\MathieuFs{m}@{z}{h};;;;;;not defined
;\MathieuGc{m}@{z}{h};;;;;;not defined
;\MathieuGs{m}@{z}{h};;;;;;not defined
;;;;;;;
MeijerG([[a_1, .., a_n],[a_n+1, .., a_p]], [[b_1, .., b_m],[b_m+1, .., b_q]],z);\MeijerG{m}{n}{p}{q}@@@{z}{\Vector{a}}{\Vector{b}};;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=MeijerG
;;;;;;;
;\MillsM@{x};;;;;;http://www.maplesoft.com/support/help/Maple/view.aspx?path=Statistics/MillsRatio
;;;;;;;
;\modularlambdatau@{\tau};;;;;;not defined
;\KleincompinvarJtau@{\tau};;;;;;not defined
;\Dedekindeta@{\tau};;;;;;not defined
;;;;;;;
;\Pade{p}{q}{f};;;;;;not defined
;;;;;;;
;\Ramanujansum{k}@{n};;;;;;not defined
;\Ramanujantau@{n};;;;;;not defined
;;;;;;;
;\Rayleighsigma{n}@{\nu};;;;;;not defined
;;;;;;;
RiemannTheta([z_1, .., z_g], Omega);\Riemanntheta@{\Vector{z}}{\Matrix{\Omega}};;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=RiemannTheta
;\Riemannthetachar{\Vector{\alpha}}{\Vector{\beta}}@{\Vector{z}}{\Matrix{\Omega}};;;;;;not defined
;\scRiemanntheta@{\Vector{z}}{\Matrix{\Omega}};;;;;;not defined
;\Riemannxi@{s};;;;;;not defined
Zeta(s);\Riemannzeta@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Zeta
;;;;;;;
;\ScorerGi@{z};;;;;;not defined
;\ScorerHi@{z};;;;;;not defined
;;;;;;;
;\spheigvalLambda{m}{n}@{\gamma^2};;;;;;not defined
;\sphwavePsreal{m}{n}@{x}{\gamma^2};;;;;;not defined
;\sphwaveQsreal{m}{n}@{x}{\gamma^2};;;;;;not defined
;\sphwavePs{m}{n}@{z}{\gamma^2};;;;;;not defined
;\sphwaveQs{m}{n}@{z}{\gamma^2};;;;;;not defined
;\radsphwaveS{m}{j}{n}@{z}{\gamma};;;;;;not defined
;;;;;;;
Stirling1($0, $1);\Stirlingnumbers@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Stirling1
Stirling2($0, $1);\StirlingnumberS@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Stirling2
;;;;;;;
StruveH($0, $1);\StruveH{$0}@{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=StruveH
;\StruveK{\nu}@{z};;;;;;not defined
StruveL($0, $1);\modStruveL{$0}@{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=StruveL
;\modStruveM{\nu}@{z};;;;;;not defined
;;;;;;;
legendre($0, $1);\Legendresym{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=numtheory%2Flegendre%28deprecated%29
KroneckerDelta[$0, $1];\Kroneckerdelta{$0}{$1};2;;;;;http://www.maplesoft.com/support/help/Maple/view.aspx?path=Physics/KroneckerDelta
2-KroneckerDelta[$0, 0];\NeumannFactor{n};;;;;;not defined
LeviCivita[$0, $1, $2];\LeviCivitasym{$0}{$1}{$2};3;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=Physics/LeviCivita
;\RiemannsymP@{\begin{Bmatrix} \alpha & \beta &\gamma & \\ a_1 & b_1 & c_1 & z \\ a_2 & b_2 & c_2 & \end{Bmatrix}};;;;;;not defined
pochhammer($0, $1);\Pochhammersym{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=pochhammer
;\Wignerthreejsym@@{j_1}{j_2}{j_3}{m_1}{m_2}{m_3};;;;;;not defined
;\Wignersixjsym@@{j_{1}}{j_{2}}{j_{3}}{l_{1}}{l_{2}}{l_{3}};;;;;;not defined
;\Wignerninejsym@@{j_{11}}{j_{12}}{j_{13}}{j_{21}}{j_{22}}{j_{23}}{j_{31}}{j_{32}}{j_{33}};;;;;;not defined
;\ClebschGordan{j_1}{m_1}{j_2}{m_2}{j_3}{-m_3};;;;;;not defined
;;;;;;;
;\terminant{p}@{z};;;;;;not defined
;\scterminant{p}@{z};;;;;(exp($1)/(2*Pi))*GAMMA($0)*GAMMA(1-$0,$1);not defined
;;;;;;;
fourier(f, t, -x)/sqrt(2*Pi);\FourierTrans@@{f}{s};;;;;;http://www.maplesoft.com/support/help/Maple/view.aspx?path=inttrans/fourier
laplace(f, t, s);\LaplaceTrans@{f}{s};;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=inttrans/laplace
mellin(f, t, s);\MellinTrans@{f}{s};;;;;;http://www.maplesoft.com/support/help/Maple/view.aspx?path=inttrans/mellin
hilbert(f, t, s);\HilbertTrans@{f}{s};;;;;;http://www.maplesoft.com/support/help/Maple/view.aspx?path=inttrans/hilbert
;\StieltjesTrans@{f}{s};;;;;;not defined
;;;;;;;
;\variation[a,b]@{f};;;;;;not defined
;;;;;;;
Gradiant(f);\gradient $0;1;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=VectorCalculus/Gradient
Divergence(F);\divergence $0;1;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=VectorCalculus/Divergence
Curl(F);\curl $0;1;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=VectorCalculus/Curl
;;;;;;;
;\VoigtU@{x}{t};;;;;;not defined
;\VoigtV@{x}{t};;;;;;not defined
;\VoigtH@{a}{u};;;;;;not defined
;;;;;;;
;\Waringg@{k};;;;;;not defined
;\WaringG@{k};;;;;;not defined
;\nsquares{k}@{n};;;;;;not defined
;;;;;;;
WeierstrassP($0, $1, $2);\Weierstrasspinvar@@{$0}{$1}{$2};3;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=WeierstrassP
;\Weierstrassplatt@@{z}{\Lattice{L}};;;;;;not defined
WeierstrassZeta($0, $1, $2);\Weierstrasszetainvar@@{$0}{$1}{$2};3;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=WeierstrassZeta
;\Weierstrasszetalatt@@{z}{\Lattice{L}};;;;;;not defined
WeierstrassSigma($0, $1, $2);\Weierstrasssigmainvar@@{$0}{$1}{$2};3;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=WeierstrassSigma
;\Weierstrasssigmalatt@@{z}{\Lattice{L}};;;;;;not defined
;;;;;;;
WhittakerM($0, $1, $2);\WhittakerconfhyperM{$0}{$1}@{$2};3;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=WhittakerM
WhittakerW($0, $1, $2);\WhittakerconfhyperW{$0}{$1}@{$2};3;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=WhittakerW
;;;;;;;
Zeta($0);\Riemannzeta@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Zeta
Zeta(0, $0, $1);\Hurwitzzeta@{$1}{$2};3;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Zeta
WeierstrassZeta($0, $1, $2);\Weierstrasszetainvar@@{$0}{$1}{$2};3;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=WeierstrassZeta
;\Weierstrasszetalatt@@{z}{\Lattice{L}};;;;;;not defined
JacobiZeta($0, $1);\JacobiZetak@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=JacobiZeta
;\perZeta@{x}{s};;;;;;not defined
;;;;;;;
;\AlSalamChiharapolyQ{n}@{x}{a}{b}{q};;;;;;not defined
;\AlSalamChihara{n}@@{x}{a}{b}{q};;;;;;not defined
;\qinvAlSalamChihara{n}@{x}{a}{b}{q^{-1}};;;;;;not defined
;\AlSalamCarlitzI{a}{n}@{x}{q};;;;;;not defined
;\AlSalamCarlitzII{a}{n}@{x}{q};;;;;;not defined
;\AlSalamIsmail{n}@{x}{s}{q};;;;;;not defined
;;;;;;;
;\AskeyWilson{n}@{x}{a}{b}{c}{d}{q};;;;;;not defined
;\AskeyWilsonpolyp{n}@{x}{a}{b}{c}{d}{q};;;;;;not defined
;;;;;;;
bernoulli(n, x);\BernoullipolyB{$0}@{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=bernoulli
;\genBernoullipolyB{\ell}{n}@{x};;;;;;not defined
;\perBernoulliB{n}@{x};;;;;;not defined
;\qBernoullipolybeta{n}@{x}{q};;;;;;not defined
;;;;;;;
BellB($0, 1);\Bellnumber@{$0};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=BellB
;;;;;;;
;\BesselPoly{n}@{x}{a};;;;;;not defined
;\Besselpolyy{n}@{x}{a};;;;;;not defined
;\BesselPolyIIparam{n}@{x}{a}{b};;;;;;not defined
;\BesselPolyTheta{n}@{x}{a}{b};;;;;;not defined
;;;;;;;
;\Charlier{n}@{x}{a};;;;;;not defined
;\CharlierpolyC{n}@{x}{a};;;;;;not defined
;;;;;;;
ChebyshevT($0, $1);\ChebyshevpolyT{$0}@{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=ChebyshevT
ChebyshevU($0, $1);\ChebyshevpolyU{$0}@{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=ChebyshevU
;\ChebyshevpolyV{n}@{x};;;;;;not defined
;\ChebyshevpolyW{n}@{x};;;;;;not defined
;\shiftChebyshevpolyT{n}@{x};;;;;;not defined
;\shiftChebyshevpolyU{n}@{x};;;;;;not defined
;\dilChebyshevpolyC{n}@{x};;;;;;not defined
;\dilChebyshevpolyS{n}@{x};;;;;;not defined
;\CiglerqChebyT{n}@{x}{s}{q};;;;;;not defined
;\CiglerqChebyU{n}@{x}{s}{q};;;;;;not defined
;\monicChebyT{n}@@{x};;;;;;not defined
;\monicChebyU{n}@@{x};;;;;;not defined
;;;;;;;
;\diskpoly{\alpha}{m}{n}@{z};;;;;;not defined
;;;;;;;
euler($0, $1);\EulerpolyE{$0}@{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=euler
;\genEulerpolyE{\ell}{n}@{x};;;;;;not defined
;\perEulerE{n}@{x};;;;;;not defined
;;;;;;;
GegenbauerC($1, $0, $2);\Ultra{$1}{$0}@{$2};3;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=GegenbauerC
GegenbauerC($1, $0, $2);\ultrasphpoly{$1}{$0}@{$2};3;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=GegenbauerC
;\GenGegenbauerS{\alpha}{\beta}{n}@{x};;;;;;not defined
;;;;;;;
;\Hahn{n}@{x}{\alpha}{\beta}{N};;;;;;not defined
;\HahnpolyQ{n}@{x}{\alpha}{\beta}{N};;;;;;not defined
;\dualHahnpolyR{n}@{x}{\gamma}{\delta}{N};;;;;;not defined
;\dualHahn{n}@@{\lambda(x)}{\gamma}{\delta}{N};;;;;;not defined
;\contdualHahnpolyS{n}@{x}{a}{b}{c};;;;;;not defined
;\contHahnpolyp{n}@{x}{a}{b}{\conj{a}}{\conj{b}};;;;;;not defined
;;;;;;;
HermiteH($0, $1);\Hermite{$0}@{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=HermiteH
HermiteH($0, $1);\HermitepolyH{$0}@{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=HermiteH
;\dilHermitepolyHe{n}@{x};;;;;;not defined
;\GenHermite[\alpha]{n}@{x};;;;;;not defined
;;;;;;;
;\HeunpolyHp{n}{m}@@{a}{q}{-n}{\beta}{\gamma}{\delta}{z};;;;;;not defined
;;;;;;;
JacobiP($2, $0, $1, $3);\Jacobi{$1}{$2}{$0}@{$3};4;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=JacobiP
JacobiP($2, $0, $1, $3);\JacobipolyP{$1}{$2}{$0}@{$3};4;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=JacobiP
;\shiftJacobipolyG{n}@{p}{q}{x};;;;;;not defined
;\assJacobipolyP{\alpha}{\beta}{n}@{x}{c};;;;;;not defined
;\pseudoJacobi{n}@{x}{\nu}{N};;;;;;not defined
;\trianglepoly{\alpha}{\beta}{\gamma}{m}{n}@{x}{y};;;;;;not defined
;;;;;;;
;\Krawtchouk{n}@{x}{p}{N};;;;;;not defined
;\KrawtchoukpolyK{n}@{x}{p}{N};;;;;;not defined
;;;;;;;
LaguerreL($0, $1);\LaguerrepolyL{$0}@{$1};2;;;;\Laguerre{$0}@{$2};https://www.maplesoft.com/support/help/maple/view.aspx?path=LaguerreL
LaguerreL($1, $0, $2);X1:LaguerreLX\LaguerrepolyL[$1]{$0}@{$2};3;;;;\Laguerre[$1]{$0}@{$2};https://www.maplesoft.com/support/help/maple/view.aspx?path=LaguerreL
;\GottliebLaguerre{n}@{x};;;;;;not defined
;;;;;;;
;\LamepolyuE{m}{2n}@{z}{k^2};;;;;;not defined
;\LamepolysE{m}{2n+1}@{z}{k^2};;;;;;not defined
;\LamepolycE{m}{2n+1}@{z}{k^2};;;;;;not defined
;\LamepolydE{m}{2n+1}@{z}{k^2};;;;;;not defined
;\LamepolyscE{m}{2n+2}@{z}{k^2};;;;;;not defined
;\LamepolysdE{m}{2n+2}@{z}{k^2};;;;;;not defined
;\LamepolycdE{m}{2n+2}@{z}{k^2};;;;;;not defined
;\LamepolyscdE{m}{2n+3}@{z}{k^2};;;;;;not defined
;;;;;;;
;\LegendrepolyP{$0}@{$1};;;;;;not defined
;\shiftLegendrepolyP{n}@{x};;;;;;not defined
;\assLegendrepoly{n}@{x}{c};;;;;;not defined
;;;;;;;
;\Meixner{n}@{x}{\beta}{c};;;;;;not defined
;\MeixnerpolyM{n}@{x}{\beta}{c};;;;;;not defined
;\MeixnerPollaczek{\lambda}{n}@{x}{\phi};;;;;;not defined
;\MeixnerPollaczekpolyP{\lambda}{n}@{x}{\phi};;;;;;not defined
;;;;;;;
;\NeumannpolyO{n}@{x};;;;;;not defined
;;;;;;;
;\PollaczekpolyP{\lambda}{n}@{x}{a}{b};;;;;;not defined
;;;;;;;
;\Racah{n}@{x}{\alpha}{\beta}{\gamma}{\delta};;;;;;not defined
;\RacahpolyR{n}@{x}{\alpha}{\beta}{\gamma}{\delta};;;;;;not defined
;;;;;;;
;\StieltjesWigert{n}@@{x}{q};;;;;;not defined
;\StieltjesWigertpolyS{n}@{x}{q};;;;;;not defined
;;;;;;;
;\Wilson{n}@{x}{a}{b}{c}{d};;;;;;not defined
;\WilsonpolyW{n}@{x}{a}{b}{c}{d};;;;;;not defined
;;;;;;;
;\zonalpolyZ{\kappa}@{\Matrix{T}};;;;;;not defined
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;\qSin{q}@@{x};;;;;;not defined
;\qsin{q}@@{x};;;;;;not defined
;\qSinKLS{q}@@{z};;;;;;not defined
;\qsinKLS{q}@@{z};;;;;;not defined
;\qCos{q}@@{x};;;;;;not defined
;\qcos{q}@@{x};;;;;;not defined
;\qCosKLS{q}@@{z};;;;;;not defined
;\qcosKLS{q}@@{z};;;;;;not defined
;\qExp{q}@@{x};;;;;;not defined
;\qexp{q}@@{x};;;;;;not defined
;\qExpKLS{q}@@{z};;;;;;not defined
;\qexpKLS{q}@@{z};;;;;;not defined
;\qAppellPhi{1}@{a}{b}{b'}{c}{q}{x}{y};;;;;;not defined
;\qAppellPhi{2}@{a}{b}{b'}{c}{c'}{q}{x}{y};;;;;;not defined
;\qAppellPhi{3}@{a}{a'}{b}{b'}{c}{q}{x}{y};;;;;;not defined
;\qAppellPhi{4}@{a}{b}{c}{c'}{q}{x}{y};;;;;;not defined
;\qBernoullipolybeta{n}@{x}{q};;;;;;not defined
;\qBesselPoly{n}@{x}{b}{q};;;;;;not defined
;\qBeta{q}@{a}{b};;;;;;not defined
;\qbinom{n}{m}{q};;;;;;not defined
;\qCharlier{n}@{x}{c}{q};;;;;;not defined
;\qderiv[n]{q}@{z};;;;;;not defined
;\qdiff{q}{x};;;;;;not defined
;\qGamma{q}@{z};;;;;;not defined
;\qDigamma{q}@{z};;;;;;not defined
;\qEulernumberA{m}{s}@{q};;;;;;not defined
;\qfactorial{n}{q};;;;;;not defined
;\qGamma{q}@{z};;;;;;not defined
;\qHahn{n}@@{q^{-x}}{\alpha}{\beta}{N};;;;;;not defined
;\qHahnpolyQ{n}@{x}{\alpha}{\beta}{N}{q};;;;;;not defined
;\dualqHahn{n}@@{\mu(x)}{\gamma}{\delta}{N}{q};;;;;;not defined
;\contqHermitepolyH{n}@{x}{q};;;;;;not defined
;\contqinvHermitepolyh{n}@{x}{q};;;;;;not defined
;\discqHermitepolyhI{n}@{x}{q};;;;;;not defined
;\discqHermitepolyhII{n}@{x}{q};;;;;;not defined
;\discrqHermiteI{n}@@{x}{q};;;;;;not defined
;\discrqHermiteII{n}@@{x}{q};;;;;;not defined
;\bigqJacobipolyP{n}@{x}{a}{b}{c}{q};;;;;;not defined
;\bigqJacobi{n}@@{x}{a}{b}{c}{q};;;;;;not defined
;\scbigqJacobipolyP{\alpha}{\beta}{n}@{x}{c}{d}{q};;;;;;not defined
;\bigqJacobiIVparam{n}@@{x}{a}{b}{c}{d}{q};;;;;;not defined
;\littleqJacobipolyp{n}@{x}{a}{b}{q};;;;;;not defined
;\littleqJacobi{n}@@{x}{a}{b}{q};;;;;;not defined
;\qKrawtchouk{n}@@{q^{-x}}{p}{N}{q};;;;;;not defined
;\dualqKrawtchouk{n}@@{\lambda(x)}{c}{N}{q};;;;;;not defined
;\qtmqKrawtchouk{n}@@{q^{-x}}{p}{N}{q};;;;;;not defined
;\AffqKrawtchouk{n}@@{q^{-x}}{p}{N}{q};;;;;;
;\qLaguerre[\alpha]{n}@@{x}{q};;;;;;not defined
;\qLaguerrepolyL[\alpha]{n}@{x}{q};;;;;;not defined
;\bigqLaguerre{n}@{x}{a}{b}{q};;;;;;not defined
;\littleqLaguerre{n}@{x}{a}{q};;;;;;not defined
;\qLegendre{n}@{x}{q};;;;;;not defined
;\bigqLegendre{n}@{x}{c}{q};;;;;;not defined
;\littleqLegendre{m}@{x}{q};;;;;;not defined
;\qMeixner{n}@{x}{b}{c}{q};;;;;;not defined
