Maple;DLMF;Number of Variables;Maple-DLMF-Comment;Maple-Constraints;Maple-Branch Cuts;DLMF-Alternatives;Maple-Link
;\qMeixnerPollaczek{n}@{x}{a}{q};;;;;;not defined
;\qPochhammer{a}{q}{n};;;;;;not defined
;\qmultiPochhammersym{a_1,\ldots,a_n}{q}{n};;;;;;not defined
;\qpolygamma{n}{q}@{z};;;;;;not defined
;\qRacah{n}@{x}{\alpha}{\beta}{\gamma}{\delta}{q};;;;;;not defined
;\qRacahpolyR{n}@{x}{\alpha}{\beta}{\gamma}{\delta}{q};;;;;;not defined
;\qStirlingnumbera{m}{s}@{q};;;;;;not defined
;\contqultrasphpoly{n}@{x}{\beta}{q};;;;;;not defined
;\qHyperrWs{r}{r+1}@@@{a_1}{a_4,a_5,...,a_{r+1}}{q}{z};;;;;;not defined
;\qgenhyperphi{r}{s}@@@{a_1,...,a_r}{b_1,...,b_s}{q}{z};;;;;;not defined
;\qgenhyperpsi{r}{s}@@@{a_1,...,a_r}{b_1,...,b_s}{q}{z};;;;;;not defined
;\qmultinomial{a_1+\ldots+a_n}{a_1,\ldots,a_n}{q};;;;;;not defined
;;;;;;;
;\ctsHahn{n}@@{x}{a}{b}{c}{d};;;;;;not defined
;\ctsbigqHermite{n}@{x}{a}{q};;;;;;not defined
;\ctsdualHahn{n}@@{x^2}{a}{b}{c};;;;;;not defined
;\ctsdualqHahn{n}@{x}{a}{b}{c}{q};;;;;;not defined
;\ctsqHahn{n}@{x}{a}{b}{c}{d}{q};;;;;;not defined
;\ctsqHermite{n}@@{x}{q};;;;;;not defined
;\ctsqJacobi{\alpha}{\beta}{m}@{x}{q};;;;;;not defined
;\ctsqJacobiRahman{n}@@{x}{q};;;;;;not defined
;\ctsqLaguerre{\alpha}{n}@{x}{q};;;;;;not defined
;\ctsqLegendre{n}@@{x}{q};;;;;;not defined
;\ctsqLegendreRahman{n}@@{x}{q};;;;;;not defined
;\ctsqUltra{n}@{x}{\beta}{q};;;;;;not defined
;\ctsqUltrae{n}@{e^{i\theta}}{\beta}{q};;;;;;not defined
;;;;;;;
;\monicAffqKrawtchouk{n}@@{q^{-x}}{p}{N}{q};;;;;;not defined
;\monicAlSalamCarlitzI{a}{n}@@{x}{q};;;;;;not defined
;\monicAlSalamCarlitzII{a}{n}@@{x}{q};;;;;;not defined
;\monicAlSalamChihara{n}@@{x}{a}{b}{q};;;;;;not defined
;\monicAskeyWilson{n}@@{x}{a}{b}{c}{d}{q};;;;;;not defined
;\monicBesselPoly{n}@@{x}{a};;;;;;not defined
;\monicCharlier{n}@@{x}{a};;;;;;not defined
;\monicChebyT{n}@@{x};;;;;;not defined
;\monicChebyU{n}@@{x};;;;;;not defined
;\monicHahn{n}@@{x}{\alpha}{\beta}{N};;;;;;not defined
;\monicHermite{n}@@{x};;;;;;not defined
;\monicJacobi{n}@@{x};;;;;;not defined
;\monicKrawtchouk{n}@@{q^{-x}}{p}{N}{q};;;;;;not defined
;\monicLaguerre{n}@@{x};;;;;;not defined
;\monicLegendrePoly{n}@@{x};;;;;;not defined
;\monicMeixner{n}@@{x}{\beta}{c};;;;;;not defined
;\monicMeixnerPollaczek{\lambda}{n}@@{x}{\phi};;;;;;not defined
;\monicRacah{n}@@{\lambda(x)}{\alpha}{\beta}{\gamma}{\delta};;;;;;not defined
;\monicStieltjesWigert{n}@@{x}{q};;;;;;not defined
;\monicUltra{n}@@{x};;;;;;not defined
;\monicWilson{n}@@{x^2}{a}{b}{c}{d};;;;;;not defined
;\monicbigqJacobi{n}@@{x}{a}{b}{c}{q};;;;;;not defined
;\monicbigqLaguerre{n}@@{x}{a}{b}{q};;;;;;not defined
;\monicbigqLegendre{n}@@{x}{c}{q};;;;;;not defined
;\monicctsHahn{n}@@{x}{a}{b}{c}{d};;;;;;not defined
;\monicctsbigqHermite{n}@@{x}{a}{q};;;;;;not defined
;\monicctsdualHahn{n}@@{x^2}{a}{b}{c}{d};;;;;;not defined
;\monicctsdualqHahn{n}@@{x^2}{a}{b}{c};;;;;;not defined
;\monicctsqHahn{n}@@{x}{a}{b}{c}{d}{q};;;;;;not defined
;\monicctsqHermite{n}@@{x}{q};;;;;;not defined
;\monicctsqJacobi{n}@@{x}{q};;;;;;not defined
;\monicctsqLaguerre{n}@@{x}{q};;;;;;not defined
;\monicctsqLegendre{n}@@{x}{q};;;;;;not defined
;\monicctsqUltra{n}@@{x}{\beta}{q};;;;;;not defined
;\monicdiscrqHermiteI{n}@@{x}{q};;;;;;not defined
;\monicdiscrqHermiteII{n}@@{x}{q};;;;;;not defined
;\monicdualHahn{n}@@{\lambda(x)}{\gamma}{\delta}{N};;;;;;not defined
;\monicdualqHahn{n}@@{\mu(x)}{\gamma}{\delta}{N}{q};;;;;;not defined
;\monicdualqKrawtchouk{n}@@{\lambda(x)}{c}{N}{q};;;;;;not defined
;\moniclittleqJacobi{n}@@{x}{a}{b}{q};;;;;;not defined
;\moniclittleqLaguerre{n}@@{x}{a}{q};;;;;;not defined
;\moniclittleqLegendre{n}@@{x}{q};;;;;;not defined
;\monicpseudoJacobi{n}@@{x}{\nu}{N};;;;;;not defined
;\monicqBesselPoly{n}@@{x}{a}{q};;;;;;not defined
;\monicqCharlier{n}@@{q^{-x}}{a}{q};;;;;;not defined
;\monicqHahn{n}@@{q^{-x}}{\alpha}{\beta}{N};;;;;;not defined
;\monicqKrawtchouk{n}@@{q^{-x}}{p}{N}{q};;;;;;not defined
;\monicqLaguerre{n}@@{x}{q};;;;;;not defined
;\monicqMeixner{n}@@{q^{-x}}{b}{c}{q};;;;;;not defined
;\monicqMeixnerPollaczek{n}@@{x}{a}{q};;;;;;not defined
;\monicqRacah{n}@@{\mu(x)}{\alpha}{\beta}{\gamma}{\delta}{q};;;;;;not defined
;\monicqinvAlSalamChihara{n}@{x}{a}{b}{q^{-1}};;;;;;not defined
;\monicqtmqKrawtchouk{n}@@{q^{-x}}{p}{N}{q};;;;;;not defined
;;;;;;;
;\normAskeyWilsonptilde{n}@@{x}{a}{b}{c}{d}{q};;;;;;not defined
;\normJacobiR{\alpha}{\beta}{n}@{x};;;;;;not defined
;\normWilsonWtilde{n}@@{x^2}{a}{b}{c}{d};;;;;;not defined
;\normctsHahnptilde{n}@@{x}{a}{b}{c}{d};;;;;;not defined
;\normctsdualHahnStilde{n}@@{x^2}{a}{b}{c}{d};;;;;;not defined
;\normctsdualqHahnptilde{n}@@{x}{a}{b}{c}{q};;;;;;not defined
;\normctsqHahnptilde{n}@@{x}{a}{b}{c}{d}{q};;;;;;not defined
;\normctsqJacobiPtilde{n}@@{x}{q};;;;;;not defined
